MUISCAS;SUBESTACION;5.5702;-73.3244
TUNJA (DONATO);SUBESTACION;4.8794;-73.2338
JENESANO;SUBESTACION;5.3823;-73.3765
ALTO RICAURTE;SUBESTACION;5.5977;-73.5677
CHIQUINQUIRA;SUBESTACION;5.6280;-73.7983
SAN PABLO;SUBESTACION;5.6802;-74.0792
BARBOSA (SANTANDER);SUBESTACION;5.9569;-73.6136
PAIPA;SUBESTACION;5.7683;-73.1352
SOCHAGOTA;SUBESTACION;5.7380;-73.1294
DIACO (BOYACA);GENERADOR;5.7257;-73.2228
DUITAMA (HIGUERAS);SUBESTACION;5.8038;-73.0405
SANTA TERESA;SUBESTACION;5.7948;-72.9870
SUAMOX;SUBESTACION;5.7680;-72.8958
HOLCIM;SUBESTACION;5.7427;-72.9155
BELENCITO (APR);SUBESTACION;5.7790;-72.8862
BELENCITO;SUBESTACION;5.7790;-72.8862
CHIVOR;SUBESTACION;4.8689;-73.2331
SAN ANTONIO;SUBESTACION;5.7602;-72.8963
SAN ANTONIO (BOYACA);SUBESTACION;5.7602;-72.8963
ARGOS SOGAMOSO;GENERADOR;5.7585;-72.8907
EL HUCHE;SUBESTACION;5.9798;-72.7541
BOAVITA;SUBESTACION;6.3279;-72.5851
BAVARIA;SUBESTACION;5.8072;-73.0058
AGUACLARA;SUBESTACION;4.8024;-73.0027
VILLANUEVA;GENERADOR;4.6828;-72.9313
AGUAZUL;SUBESTACION;5.1885;-72.5605
YOPAL;SUBESTACION;5.3267;-72.3908
MORRO;SUBESTACION;5.4524;-72.4551
TERMOYOPAL;GENERADOR;5.4443;-72.4534
GUATEQUE;SUBESTACION;5.0057;-73.4718
SANTA MARIA;SUBESTACION;4.9615;-73.2462
TUNJITA;SUBESTACION;4.9961;-73.3521
LA RAMADA;SUBESTACION;5.8237;-72.9514
SIDENAL;SUBESTACION;5.7483;-72.9101
LA YOPALOSA;SUBESTACION;5.5117;-72.2035
TOQUILLA;SUBESTACION;5.5653;-72.7885
PAZ DE ARIPORO;SUBESTACION;5.5123;-72.2035
CIMITARRA;SUBESTACION;6.3354;-73.9555
TSANTA ROSA;GENERADOR;6.2918;-74.0955
SANTA ROSA ;SUBESTACION;5.8906;-72.9789
TDIACO (BOYACA);GENERADOR;5.7693;-73.1450
GUATIGUARA;SUBESTACION;6.9691;-73.1032
SAN LUIS DE PALENQUE;SUBESTACION;5.4215;-71.7320
SANTA ROSALIA;SUBESTACION;5.4243;-71.7462
TDIACO;GENERADOR;5.7693;-73.1450
